Brands,Models,Colors,Camera,Rating,Selling Price,Original Price,Mobile,Discount,discount percentage,clean_memory,clean_storage
13,285,356,0,-0.21876055965606087,-0.21961541393378559,-0.2161067899091788,550,1669,7.947997523691604,-0.09020193413778459,0.4466093797447714
10,45,562,0,-0.21876055965606087,-0.5275346802733902,-0.5632362669221165,411,0,0.0,-0.1745116319642859,-0.7951803951010518
15,171,174,0,-0.21876055965606087,-0.6354463714667683,-0.6339478270543816,835,1000,12.50156269533692,-0.1745116319642859,-0.26298477730998476
6,583,270,0,-0.21876055965606087,-0.43311195047918444,-0.4732397358446882,184,0,0.0,-0.14640839935545213,-0.26298477730998476
1,886,46,0,3.316692356075757,0.811278460997954,0.7128181189010909,33,0,0.0,-0.14640839935545213,-0.26298477730998476
2,505,46,0,-0.21876055965606087,-0.7973139082568353,-0.820369212857626,85,0,0.0,-0.09020193413778459,-0.7951803951010518
1,894,434,0,-0.21876055965606087,2.497398635894486,2.319899030998025,41,0,0.0,-0.11830516674661835,4.704174322073308
1,911,136,0,3.316692356075757,0.5785601544587347,0.6485348824172136,58,4901,10.231732776617951,-0.16046001565986903,-0.26298477730998476
13,338,86,0,-0.21876055965606087,-0.1835324421909998,-0.23535961923610008,600,0,0.0,-0.18153744011649434,-0.7951803951010518
14,660,16,0,-0.21876055965606087,-0.13847931111776446,-0.15182355342530146,793,1263,5.491543110570025,-0.09020193413778459,0.4466093797447714
13,296,46,0,-0.21876055965606087,-0.46717157801209436,-0.5057027702690463,558,0,0.0,-0.14640839935545213,-0.26298477730998476
1,886,483,0,3.316692356075757,1.3171145134669136,1.1949423925301712,33,0,0.0,-0.14640839935545213,1.8657976938542835
15,806,384,0,-0.21876055965606087,-0.19705512599366998,-0.18396517166724013,866,2000,9.091322332833313,-0.11830516674661835,0.4466093797447714
11,119,366,0,-0.21876055965606087,-0.5177214608554924,-0.4735290104088657,465,2500,19.24557351809084,-0.16046001565986903,-0.6177818558373628
16,748,579,0,-0.21876055965606087,0.139865407354155,0.23358659091378525,881,5000,14.289797084881394,-0.09020193413778459,0.4466093797447714
16,824,385,0,-0.21876055965606087,0.4770894423334614,0.6192860098170494,902,7000,14.896786550329857,-0.14640839935545213,-0.26298477730998476
13,361,247,0,-0.21876055965606087,-0.6354463714667683,-0.6660894452963203,623,0,0.0,-0.1885632482687028,-0.7951803951010518
8,485,546,0,-0.21876055965606087,-0.3993895469812538,-0.44109811760274953,290,0,0.0,-0.14640839935545213,-0.26298477730998476
0,878,67,0,-0.21876055965606087,-0.6118406890182168,-0.6435903125269632,28,0,0.0,-0.1745116319642859,-0.6177818558373628
9,510,261,0,-0.21876055965606087,-0.5342791609729763,-0.5696645905705042,356,0,0.0,-0.14640839935545213,-0.26298477730998476
15,0,174,0,-0.21876055965606087,-0.46713785560859644,-0.4735290104088657,807,1000,7.698229407236336,-0.16046001565986903,-0.26298477730998476
2,615,627,0,-0.21876055965606087,-0.7534747837095255,-0.7785851091431056,108,0,0.0,-0.1885632482687028,-0.8838796647328964
15,796,19,0,-0.21876055965606087,-0.028443108504016795,-0.023257080457546736,862,2000,7.407681765991334,-0.11830516674661835,0.4466093797447714
15,568,295,0,-0.21876055965606087,-0.568001564470907,-0.5696645905705042,855,1000,10.00100010001,-0.16046001565986903,-0.26298477730998476
15,84,275,0,-0.21876055965606087,-0.26449993298953123,-0.24824840815111748,822,2000,10.000500025001251,-0.11830516674661835,-0.26298477730998476
2,234,46,0,-0.21876055965606087,-0.6357498730982496,-0.6663787198604978,79,0,0.0,-0.1745116319642859,-0.7951803951010518
8,140,46,0,-0.21876055965606087,-0.6017239679688376,-0.6339478270543816,282,0,0.0,-0.1745116319642859,-0.7951803951010518
13,445,444,0,-0.21876055965606087,1.4890987713063597,1.3588646455640583,707,0,0.0,-0.11830516674661835,-0.26298477730998476
13,305,455,0,-0.21876055965606087,-0.2577554522899451,-0.3061033209866071,567,0,0.0,-0.14640839935545213,0.4466093797447714
13,369,46,0,-0.21876055965606087,-0.36597064511480454,-0.40924577392498834,631,0,0.0,-0.14640839935545213,-0.26298477730998476
13,292,67,0,-0.21876055965606087,-0.6017239679688376,-0.553593781449535,554,2500,23.811791599199925,-0.1745116319642859,-0.6177818558373628
13,410,344,0,3.316692356075757,0.8146169789442491,0.7160001391070429,672,0,0.0,-0.09020193413778459,4.704174322073308
6,471,76,0,-0.21876055965606087,-0.568001564470907,-0.601806208812443,169,0,0.0,-0.16046001565986903,-0.6177818558373628
1,886,258,0,3.316692356075757,0.811278460997954,0.7128181189010909,33,0,0.0,-0.14640839935545213,-0.26298477730998476
13,358,247,0,-0.21876055965606087,-0.6357498730982496,-0.6663787198604978,620,0,0.0,-0.18153744011649434,-0.8838796647328964
13,542,46,0,-0.21876055965606087,-0.7905694275572492,-0.8139408892092382,736,0,0.0,-0.1745116319642859,-0.9504041169567797
4,192,46,0,-0.21876055965606087,0.3253386265927735,0.2496574000347546,149,0,0.0,-0.1885632482687028,-0.8838796647328964
15,798,19,0,-0.21876055965606087,0.1401689089856364,0.13745101075214666,863,2000,6.250195318603706,-0.09020193413778459,-0.26298477730998476
15,99,344,0,-0.21876055965606087,0.10644650548770575,0.13745101075214666,828,3000,9.37529297790556,-0.09020193413778459,1.8657976938542835
15,560,589,0,-0.21876055965606087,-0.4668343539771151,-0.4732397358446882,847,1000,7.692899453804139,-0.14640839935545213,0.4466093797447714
9,199,211,0,-0.21876055965606087,-0.5005567574750457,-0.5375229723285656,327,0,0.0,-0.1745116319642859,-0.7951803951010518
3,41,289,0,-0.21876055965606087,1.4890650489028618,1.3588325039458165,124,0,0.0,-0.14640839935545213,-0.26298477730998476
0,873,627,0,-0.21876055965606087,-0.6354463714667683,-0.6660894452963203,23,0,0.0,-0.1745116319642859,-0.7951803951010518
13,302,619,0,-0.21876055965606087,-0.11440151502024198,-0.1694693018401258,564,0,0.0,-0.09020193413778459,0.4466093797447714
2,536,89,0,-0.21876055965606087,-0.4668343539771151,-0.5053813540866269,94,0,0.0,-0.16046001565986903,-0.26298477730998476
15,290,389,0,-0.21876055965606087,0.20761371598149767,0.23387586547796269,846,3000,8.57167347638504,-0.09020193413778459,0.4466093797447714
13,330,46,0,-0.21876055965606087,-0.0992264334461732,-0.15500557363125336,592,0,0.0,-0.14640839935545213,-0.6177818558373628
6,721,467,0,-0.21876055965606087,-0.618585169717803,-0.601806208812443,198,1500,16.6685187243027,-0.1745116319642859,-0.6177818558373628
1,886,627,0,3.316692356075757,1.3171145134669136,1.1949423925301712,33,0,0.0,-0.14640839935545213,1.8657976938542835
15,101,453,0,-0.21876055965606087,-0.3993895469812538,-0.3768148811188722,829,2000,12.500781298831177,-0.14640839935545213,-0.26298477730998476
1,906,287,0,-0.21876055965606087,0.5752216365124395,0.4878267912075202,53,0,0.0,-0.16046001565986903,0.4466093797447714
1,907,516,0,-0.21876055965606087,0.4436705404670121,0.3914019364817041,54,901,2.2581453634085213,-0.1745116319642859,-0.26298477730998476
9,848,627,0,-0.21876055965606087,-0.028443108504016795,-0.08754031694142408,370,0,0.0,-0.16046001565986903,-0.6177818558373628
1,886,635,0,3.316692356075757,1.3171145134669136,1.1949423925301712,33,0,0.0,-0.14640839935545213,1.8657976938542835
8,489,627,0,-0.21876055965606087,-0.6017239679688376,-0.6339478270543816,293,0,0.0,-0.16046001565986903,-0.7951803951010518
11,680,556,0,-0.21876055965606087,0.3084774248438082,0.3300114456396013,526,3000,7.896814951302974,-0.09020193413778459,0.4466093797447714
11,684,560,0,-0.21876055965606087,0.10644650548770575,0.3300114456396013,530,8991,23.666754409055017,-0.09020193413778459,1.8657976938542835
13,410,401,0,3.316692356075757,0.9495065929359716,1.4871097023493938,672,19991,27.0185160156778,-0.11830516674661835,0.4466093797447714
15,81,228,0,-0.21876055965606087,-0.3993895469812538,-0.44109811760274953,819,0,0.0,-0.14640839935545213,-0.26298477730998476
8,121,627,0,-0.21876055965606087,-0.6158536550344705,-0.6474151650977539,273,0,0.0,6.991812683288327,-0.9282292995488186
13,439,249,0,-0.21876055965606087,0.07275782439327305,1.1013460002096456,701,33988,54.829967090404594,-0.14640839935545213,-0.6177818558373628
7,728,594,0,-0.21876055965606087,-0.5345826626044577,-0.5699538651346817,246,0,0.0,-0.16046001565986903,-0.7951803951010518
15,564,617,0,-0.21876055965606087,-0.5848627662198723,-0.5375229723285656,851,2500,22.729339030820984,-0.16046001565986903,-0.6177818558373628
2,533,261,0,-0.21876055965606087,-0.4668343539771151,-0.5053813540866269,91,0,0.0,-0.1745116319642859,-0.7951803951010518
14,555,103,0,-0.21876055965606087,0.352316549391118,0.3139406365186319,769,1200,3.2008535609495867,-0.09020193413778459,0.4466093797447714
7,267,247,0,-0.21876055965606087,0.005279294993913842,-0.05539869869948541,211,0,0.0,-0.14640839935545213,-0.6177818558373628
15,66,307,0,-0.21876055965606087,-0.26449993298953123,-0.31253164463499483,815,0,0.0,-0.11830516674661835,-0.26298477730998476
14,634,423,0,-0.21876055965606087,-0.4668343539771151,-0.40895649936081085,779,3000,20.00133342222815,-0.14640839935545213,-0.26298477730998476
11,134,46,0,-0.21876055965606087,-0.5008602591065271,-0.3771041556830496,476,5000,31.269543464665414,-0.14640839935545213,-0.26298477730998476
11,212,247,0,-0.21876055965606087,-0.34071256489485446,-0.38517170186177624,487,0,0.0,-0.16046001565986903,-0.7951803951010518
4,591,251,0,-0.21876055965606087,0.4369597821709239,0.3560461564155716,156,0,0.0,-0.16046001565986903,-0.6177818558373628
13,389,67,0,-0.21876055965606087,-0.3996930486127352,-0.35781918473788643,651,2600,15.672091621458712,-0.14640839935545213,0.4466093797447714
14,531,92,0,-0.21876055965606087,-0.04554036707746763,0.008755971311424188,762,3503,12.51294874084658,-0.11830516674661835,0.4466093797447714
11,122,483,0,-0.21876055965606087,-0.4668006315736171,-0.5053492124683849,467,0,0.0,-0.16046001565986903,-0.6177818558373628
4,779,67,0,-0.21876055965606087,-0.2982223364874619,-0.3446732628769335,161,0,0.0,-0.14640839935545213,0.4466093797447714
13,420,464,0,3.316692356075757,2.230991648260834,2.0659802468867094,682,0,0.0,-0.09020193413778459,4.704174322073308
6,578,237,0,-0.21876055965606087,-0.3656671434833232,-0.3446732628769335,179,2000,11.765397964586152,-0.11830516674661835,0.4466093797447714
13,391,537,0,-0.21876055965606087,-0.2682431197778016,-0.31609936425985,653,0,0.0,-0.11830516674661835,0.4466093797447714
13,319,627,0,-0.21876055965606087,-0.1734157211416206,-0.22571713376351846,581,0,0.0,-0.16046001565986903,-0.7951803951010518
13,361,247,0,-0.21876055965606087,-0.6623905718616149,-0.6917705982716293,623,0,0.0,-0.1885632482687028,-0.8838796647328964
11,151,107,0,-0.21876055965606087,-0.2985258381189433,-0.34496253744111094,483,0,0.0,-0.14640839935545213,-0.26298477730998476
14,15,561,0,-0.21876055965606087,0.039001698491844476,0.13745101075214666,760,5000,15.625488296509266,-0.11830516674661835,0.4466093797447714
0,866,627,0,-0.21876055965606087,-0.6590520539153197,-0.6885885780656774,16,0,0.0,-0.1885632482687028,-0.8838796647328964
13,341,523,0,-0.21876055965606087,-0.44997315222814976,-0.44109811760274953,603,1500,10.715051075076792,-0.14640839935545213,0.4466093797447714
13,343,218,0,-0.21876055965606087,-0.33194473998539253,-0.15182355342530146,605,7000,30.436105917648597,-0.14640839935545213,0.4466093797447714
14,662,247,0,-0.21876055965606087,-0.4836955557260804,-0.5214521632075962,795,0,0.0,-0.14640839935545213,-0.26298477730998476
11,134,67,0,-0.21876055965606087,-0.40778642545223853,-0.44910138054499227,476,0,0.0,-0.16046001565986903,-0.6177818558373628
13,438,56,0,-0.21876055965606087,0.38634245452053,0.30780158743442165,700,0,0.0,-0.16046001565986903,-0.6177818558373628
11,224,64,0,-0.21876055965606087,-0.3322482416168739,-0.21639606447335624,492,5000,23.820867079561697,-0.14640839935545213,0.4466093797447714
15,54,115,0,-0.21876055965606087,-0.2982223364874619,-0.3446732628769335,811,0,0.0,-0.09020193413778459,0.4466093797447714
1,889,483,0,3.316692356075757,1.4553426454049312,1.3877921019818031,36,1901,2.681241184767278,-0.14640839935545213,0.4466093797447714
1,892,247,0,3.316692356075757,4.183518810791018,3.926979943094959,39,0,0.0,-0.14640839935545213,4.704174322073308
11,676,293,0,-0.21876055965606087,-0.19735862762515136,-0.24853768271529492,522,0,0.0,-0.11830516674661835,1.8657976938542835
15,803,495,0,-0.21876055965606087,0.7471721719483878,0.6517169026231655,865,0,0.0,-0.03399546892011704,1.8657976938542835
11,229,152,0,-0.21876055965606087,-0.07933021538239413,-0.055687973263662864,497,2500,9.619084263178143,-0.09020193413778459,1.8657976938542835
11,241,516,0,-0.21876055965606087,-0.09619141713135944,-0.1521128279894789,506,0,0.0,-0.14640839935545213,-0.26298477730998476
2,242,46,0,-0.21876055965606087,-0.6523075732157336,-0.6821602544172897,80,0,0.0,-0.1745116319642859,-0.6177818558373628
7,727,594,0,-0.21876055965606087,-0.3909252237032732,-0.43303057142402296,245,0,0.0,-0.16046001565986903,-0.7951803951010518
